Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"26-Jan-12","goblet squat","2","40 lb","12",""
"26-Jan-12","goblet squat","3","45 lb","9",""
"26-Jan-12","machine leg press","1","158 lb","10","slot 3"
"26-Jan-12","machine leg press","2","158 lb","8","slot 3"

"30-Jan-12","dumbbell bench press","1","50 lb","10",""
"30-Jan-12","shrug","1","30 lb","10",""
"30-Jan-12","shrug","2","30 lb","12",""
"30-Jan-12","incline hammer curl","1","15 lb","10",""
"30-Jan-12","incline hammer curl","2","15 lb","10",""
"30-Jan-12","dumbbell biceps curl","1","15 lb","12",""
"30-Jan-12","dumbbell biceps curl","2","20 lb","10",""
"30-Jan-12","lying pullover","1","35 lb","10",""
"30-Jan-12","lying pullover","2","40 lb","10",""
"30-Jan-12","lying triceps extension","1","20 lb","12",""
"30-Jan-12","lying triceps extension","2","20 lb","12",""
"30-Jan-12","arnold press","1","15 lb","12",""
"30-Jan-12","arnold press","2","20 lb","10",""
"30-Jan-12","zottman curl","1","15 lb","10",""
"30-Jan-12","zottman curl","2","15 lb","10",""

"02-Feb-12","cable standing close row","1","60 lb","12",""
"02-Feb-12","cable standing close row","2","84 lb","12",""
"02-Feb-12","cable standing close row","3","96 lb","12",""
"02-Feb-12","chinup","1","0 lb","8",""
"02-Feb-12","chinup","2","0 lb","6",""
"02-Feb-12","dumbbell bent-over row","1","30 lb","11",""
"02-Feb-12","dumbbell bent-over row","2","30 lb","10",""
"02-Feb-12","dumbbell row kickback","1","8 lb","12",""
"02-Feb-12","dumbbell row kickback","2","8 lb","12",""
"02-Feb-12","dumbbell row kickback","3","8 lb","12",""
"02-Feb-12","dumbbell upright row","1","15 lb","12",""
"02-Feb-12","dumbbell upright row","2","15 lb","12",""
"02-Feb-12","dumbbell upright row","3","15 lb","10",""
"02-Feb-12","pullup weight","1","30 lb","8",""
"02-Feb-12","pullup weight","2","30 lb","8",""
"02-Feb-12","pullup weight","3","30 lb","8",""
"02-Feb-12","weighted chop","1","15 lb","10",""

"06-Feb-12","twisting shoulder press","1","20 lb","12",""
"06-Feb-12","twisting shoulder press","2","25 lb","9",""
"06-Feb-12","machine shoulder press","1","60 lb","12",""
"06-Feb-12","machine shoulder press","2","60 lb","12",""
"06-Feb-12","machine shoulder press","3","50 lb","12",""
"06-Feb-12","machine shoulder press","4","50 lb","7",""
"06-Feb-12","cable woodchopper","1","25 lb","12",""
"06-Feb-12","cable woodchopper","2","30 lb","12",""
"06-Feb-12","cable front raise","1","7.5 lb","11",""
"06-Feb-12","cable front raise","2","7.5 lb","12",""

"08-Feb-12","bosu crossover lunge","1","0 lb","10","each side"
"08-Feb-12","bosu crossover lunge","2","0 lb","10","each side"
"08-Feb-12","dumbbell lunge","1","25 lb","12",""
"08-Feb-12","dumbbell lunge","2","35 lb","12",""
"08-Feb-12","dumbbell lunge","3","35 lb","12",""
"08-Feb-12","barbell squat","1","120 lb","10",""
"08-Feb-12","barbell squat","2","120 lb","10",""
"08-Feb-12","barbell squat","3","120 lb","10",""
"08-Feb-12","sumo squat","1","55 lb","10",""
"08-Feb-12","sumo squat","2","55 lb","10",""
"08-Feb-12","sumo squat","3","55 lb","10",""
"08-Feb-12","machine leg press","1","178 lb","10",""
"08-Feb-12","machine leg press","2","178 lb","10",""
"08-Feb-12","standing dumbbell calf raise","1","15 lb","20",""
"08-Feb-12","standing dumbbell calf raise","2","15 lb","20",""

"12-Feb-12","dumbbell front raise","1","10 lb","12",""
"12-Feb-12","dumbbell front raise","2","10 lb","12",""
"12-Feb-12","seated dumbbell shoulder press","1","15 lb","12",""
"12-Feb-12","seated dumbbell shoulder press","2","20 lb","10",""
"12-Feb-12","shrug","1","30 lb","12",""
"12-Feb-12","shrug","2","35 lb","10",""
"12-Feb-12","scaption","1","10 lb","12",""
"12-Feb-12","scaption","2","10 lb","12",""
"12-Feb-12","dumbbell shoulder press","1","25 lb","12",""
"12-Feb-12","dumbbell shoulder press","2","25 lb","10",""
"12-Feb-12","arnold press","1","20 lb","12",""
"12-Feb-12","arnold press","2","25 lb","12",""
"12-Feb-12","rear lateral raise","1","5 lb","12",""
"12-Feb-12","rear lateral raise","2","5 lb","12",""
"12-Feb-12","seated front raise","1","5 lb","12",""
"12-Feb-12","seated front raise","2","5 lb","12",""

"13-Feb-12","dumbbell upright row","1","15 lb","12",""
"13-Feb-12","dumbbell upright row","2","15 lb","12",""
"13-Feb-12","triceps kickback","1","10 lb","15",""
"13-Feb-12","triceps kickback","2","10 lb","15",""
"13-Feb-12","dumbbell wrist twist","1","10 lb","12",""
"13-Feb-12","dumbbell wrist twist","2","10 lb","12",""
"13-Feb-12","hammer curl","1","15 lb","12",""
"13-Feb-12","hammer curl","2","20 lb","10",""
"13-Feb-12","lying pullover","1","40 lb","12",""
"13-Feb-12","lying pullover","2","40 lb","12",""
"13-Feb-12","standing triceps extension","1","15 lb","12",""
"13-Feb-12","standing triceps extension","2","15 lb","12",""
"13-Feb-12","zottman curl","1","15 lb","12",""
"13-Feb-12","zottman curl","2","15 lb","12",""

"15-Feb-12","saxon side bend","1","5 lb","10",""
"15-Feb-12","saxon side bend","2","5 lb","14",""
"15-Feb-12","saxon side bend","3","5 lb","14",""
"15-Feb-12","seated twist","1","4 kg","14",""
"15-Feb-12","seated twist","2","4 kg","18",""
"15-Feb-12","seated twist","3","4 kg","18",""
"15-Feb-12","v-up","1","0 lb","12",""
"15-Feb-12","v-up","2","0 lb","10",""
"15-Feb-12","side plank","1","0 lb","30",""
"15-Feb-12","side plank","2","0 lb","30",""
"15-Feb-12","superman","1","0 lb","20",""
"15-Feb-12","superman","2","0 lb","20",""
"15-Feb-12","plank","1","0 lb","60",""
"15-Feb-12","plank","2","0 lb","60",""
"15-Feb-12","swiss-ball torso twist","1","12 lb","12",""
"15-Feb-12","swiss-ball torso twist","2","15 lb","12",""
"15-Feb-12","swiss-ball torso twist","3","20 lb","12",""
"15-Feb-12","dumbbell leg lift","1","0 lb","10",""
"15-Feb-12","dumbbell leg lift","2","0 lb","10",""
"15-Feb-12","dumbbell leg lift","3","5 lb","5",""
"15-Feb-12","dumbbell leg lift","4","5 lb","5",""

"21-Feb-12","rotator cuff - internal","1","5 lb","12",""
"21-Feb-12","rotator cuff - internal","2","5 lb","12",""
"21-Feb-12","dumbbell front raise","1","10 lb","12",""
"21-Feb-12","dumbbell front raise","2","15 lb","6",""
"21-Feb-12","seated dumbbell shoulder press","1","20 lb","12",""
"21-Feb-12","seated dumbbell shoulder press","2","20 lb","12",""
"21-Feb-12","dumbbell shoulder press","1","25 lb","12",""
"21-Feb-12","dumbbell shoulder press","2","30 lb","12",""
"21-Feb-12","dumbbell shoulder press","3","30 lb","8",""
"21-Feb-12","seated front raise","1","10 lb","12",""
"21-Feb-12","seated front raise","2","10 lb","10",""
"21-Feb-12","rotator cuff - external","1","10 lb","12",""
"21-Feb-12","rotator cuff - external","2","10 lb","12",""
"21-Feb-12","upright row","1","20 lb","12",""
"21-Feb-12","upright row","2","25 lb","12",""
"21-Feb-12","upright row","3","30 lb","12",""

"22-Feb-12","dumbbell pull-over","1","25 lb","12",""
"22-Feb-12","dumbbell pull-over","2","30 lb","12",""
"22-Feb-12","pushup","1","0 lb","16",""
